21:06:42 INFO  tests.TestBase - Start test --> negativeLoginWrongEmail
21:06:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[.=' Logout ']
21:06:48 INFO  manager.MyListener - Element with locator-->By.xpath: //a[.=' Logout '] is found
21:06:48 INFO  manager.NgListener - Start of the test --> negativeLoginWrongEmail
21:06:48 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@ng-reflect-router-link='login']
21:06:48 INFO  manager.MyListener - Element with locator-->By.xpath: //a[@ng-reflect-router-link='login'] is found
21:06:48 INFO  manager.MyListener - Start searching element by locator-->By.id: email
21:06:48 INFO  manager.MyListener - Element with locator-->By.id: email is found
21:06:48 INFO  manager.MyListener - Start searching element by locator-->By.id: password
21:06:48 INFO  manager.MyListener - Element with locator-->By.id: password is found
21:06:48 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: [type='submit']
21:06:48 INFO  manager.MyListener - Element with locator-->By.cssSelector: [type='submit'] is found
21:06:49 INFO  tests.TestBase - Registration test starts with data : lena.postrashgmail.com & Mynameislena1!
21:06:51 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.="It'snot look like email"]
21:06:51 INFO  manager.MyListener - Element with locator-->By.xpath: //div[.="It'snot look like email"] is found
21:06:51 INFO  manager.NgListener - Success test --> negativeLoginWrongEmail
21:06:51 INFO  tests.TestBase - ==================================
21:06:51 INFO  tests.TestBase - Start test --> negativeLoginWrongPassword
21:06:51 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[.=' Logout ']
21:06:56 INFO  manager.MyListener - Element with locator-->By.xpath: //a[.=' Logout '] is found
21:06:56 INFO  manager.NgListener - Start of the test --> negativeLoginWrongPassword
21:06:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@ng-reflect-router-link='login']
21:06:56 INFO  manager.MyListener - Element with locator-->By.xpath: //a[@ng-reflect-router-link='login'] is found
21:06:56 INFO  manager.MyListener - Start searching element by locator-->By.id: email
21:06:56 INFO  manager.MyListener - Element with locator-->By.id: email is found
21:06:56 INFO  manager.MyListener - Start searching element by locator-->By.id: password
21:06:56 INFO  manager.MyListener - Element with locator-->By.id: password is found
21:06:56 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: [type='submit']
21:06:56 INFO  manager.MyListener - Element with locator-->By.cssSelector: [type='submit'] is found
21:06:57 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@ng-reflect-router-link='login']
21:06:57 INFO  manager.MyListener - Element with locator-->By.xpath: //a[@ng-reflect-router-link='login'] is found
21:06:57 INFO  manager.NgListener - Success test --> negativeLoginWrongPassword
21:06:57 INFO  tests.TestBase - ==================================
21:06:57 INFO  tests.TestBase - Start test --> positiveLoginUser
21:06:57 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[.=' Logout ']
21:07:02 INFO  manager.MyListener - Element with locator-->By.xpath: //a[.=' Logout '] is found
21:07:02 INFO  manager.NgListener - Start of the test --> positiveLoginUser
21:07:02 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@ng-reflect-router-link='login']
21:07:02 INFO  manager.MyListener - Element with locator-->By.xpath: //a[@ng-reflect-router-link='login'] is found
21:07:02 INFO  manager.MyListener - Start searching element by locator-->By.id: email
21:07:02 INFO  manager.MyListener - Element with locator-->By.id: email is found
21:07:02 INFO  manager.MyListener - Start searching element by locator-->By.id: password
21:07:02 INFO  manager.MyListener - Element with locator-->By.id: password is found
21:07:03 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: [type='submit']
21:07:03 INFO  manager.MyListener - Element with locator-->By.cssSelector: [type='submit'] is found
21:07:08 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
21:07:08 INFO  manager.MyListener - Element with locator-->By.cssSelector: .dialog-container is found
21:07:08 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
21:07:08 INFO  manager.MyListener - Element with locator-->By.cssSelector: .dialog-container is found
21:07:08 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[.='Ok']
21:07:08 INFO  manager.MyListener - Element with locator-->By.xpath: //button[.='Ok'] is found
21:07:08 INFO  manager.NgListener - Success test --> positiveLoginUser
21:07:08 INFO  tests.TestBase - ==================================
